time: 0.14200139045715332, average: 1.4200139045715332e-05
p0 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4855 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4856 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4857 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4858 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4859 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p4860 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4861 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4862 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4863 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4864 = Tree[a, {a,a,a,a,a}]
p4865 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4866 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4867 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4868 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4869 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4870 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4871 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4872 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p4873 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4874 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4875 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4876 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p4877 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p4878 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4879 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4880 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4881 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4882 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4883 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4884 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4885 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4886 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p4887 = Tree[a, {Tree[a, {a,a,a}],a}]
p4888 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4889 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4890 = Tree[a, {a,Tree[a, {a,a}],a}]
p4891 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4892 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4893 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4894 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4895 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4896 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p4897 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4898 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p4899 = Tree[a, {a,Tree[a, {a}],a,a}]
p4900 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4901 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4902 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p4903 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4904 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4905 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p4906 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4907 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4908 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4909 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4910 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4911 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4912 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4913 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4914 = Tree[a, {a,Tree[a, {a}],a,a}]
p4915 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4916 = Tree[a, {a,Tree[a, {a}],a,a}]
p4917 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p4918 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4919 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4920 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p4921 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4922 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4923 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4924 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4925 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p4926 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p4927 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4928 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4929 = Tree[a, {Tree[a, {a,a}],a,a}]
p4930 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p4931 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4932 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4933 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4934 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4935 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4936 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p4937 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4938 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4939 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4940 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p4941 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4942 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p4943 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4944 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4945 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4946 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4947 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4948 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4949 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p4950 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4951 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4952 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4953 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p4954 = Tree[a, {a,a,Tree[a, {a}],a}]
p4955 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p4956 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p4957 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4958 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4959 = Tree[a, {a,a,Tree[a, {a}],a}]
p4960 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4961 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p4962 = Tree[a, {a,a,a,a,a}]
p4963 = Tree[a, {a,a,Tree[a, {a}],a}]
p4964 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4965 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p4966 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4967 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p4968 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4969 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4970 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p4971 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p4972 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p4973 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p4974 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p4975 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4976 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4977 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4978 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4979 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4980 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4981 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4982 = Tree[a, {a,Tree[a, {a}],a,a}]
p4983 = Tree[a, {a,Tree[a, {a,a}],a}]
p4984 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4985 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4986 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4987 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4988 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p4989 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4990 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4991 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4992 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4993 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p4994 = Tree[a, {a,Tree[a, {a,a}],a}]
p4995 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p4996 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p4997 = Tree[a, {a,Tree[a, {a}],a,a}]
p4998 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p4999 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p5000 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p5001 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p5002 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p5003 = Tree[a, {Tree[a, {a,a,a,a}]}]
p5004 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p5005 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p5006 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p5007 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p5008 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p5009 = Tree[a, {a,a,Tree[a, {a}],a}]
p5010 = Tree[a, {a,a,a,a,a}]
p5011 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p5012 = Tree[a, {Tree[a, {a,a}],a,a}]
p5013 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p5014 = Tree[a, {Tree[a, {a,a,a}],a}]
p5015 = Tree[a, {Tree[a, {a}],a,a,a}]
p5016 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p5017 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p5018 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p5019 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p5020 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p5021 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p5022 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p5023 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p5024 = Tree[a, {Tree[a, {a,a,a}],a}]
p5025 = Tree[a, {a,a,a,Tree[a, {a}]}]
p5026 = Tree[a, {Tree[a, {a,a,a}],a}]
p5027 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p5028 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p5029 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p5030 = Tree[a, {a,Tree[a, {a,a,a}]}]
p5031 = Tree[a, {Tree[a, {a,a,a,a}]}]
p5032 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p5033 = Tree[a, {a,a,a,a,a}]
p5034 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p5035 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p5036 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p5037 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p5038 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p5039 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p5040 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p5041 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p5042 = Tree[a, {a,Tree[a, {a}],a,a}]
p5043 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p5044 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p5045 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p5046 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p5047 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p5048 = Tree[a, {a,a,Tree[a, {a}],a}]
p5049 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p5050 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p5051 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p5052 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p5053 = Tree[a, {Tree[a, {a}],a,a,a}]
p5054 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p5055 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p5056 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p5057 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p5058 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p5059 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p5060 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p5061 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p5062 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p5063 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p5064 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p5065 = Tree[a, {Tree[a, {a,a}],a,a}]
p5066 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p5067 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p5068 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p5069 = Tree[a, {a,Tree[a, {a}],a,a}]
p5070 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p5071 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p5072 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p5073 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p5074 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p5075 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p5076 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p5077 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p5078 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p5079 = Tree[a, {a,a,Tree[a, {a}],a}]
p5080 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p5081 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p5082 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p5083 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p5084 = Tree[a, {a,a,a,a,a}]
p5085 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p5086 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p5087 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p5088 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p5089 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p5090 = Tree[a, {a,Tree[a, {a,a}],a}]
p5091 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p5092 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p5093 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p5094 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p5095 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p5096 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p5097 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p5098 = Tree[a, {a,Tree[a, {a}],a,a}]
p5099 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p5100 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p5101 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p5102 = Tree[a, {a,a,a,a,a}]
p5103 = Tree[a, {a,a,a,a,a}]
p5104 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p5105 = Tree[a, {Tree[a, {a,a}],a,a}]
p5106 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p5107 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p5108 = Tree[a, {Tree[a, {a}],a,a,a}]
p5109 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p5110 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p5111 = Tree[a, {a,a,a,a,a}]
p5112 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p5113 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p5114 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p5115 = Tree[a, {Tree[a, {a,a,a}],a}]
p5116 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p5117 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p5118 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p5119 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p5120 = Tree[a, {Tree[a, {a}],a,a,a}]
p5121 = Tree[a, {a,a,Tree[a, {a}],a}]
p5122 = Tree[a, {a,a,a,Tree[a, {a}]}]
p5123 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p5124 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p5125 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p5126 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p5127 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p5128 = Tree[a, {a,a,a,a,a}]
p5129 = Tree[a, {a,a,Tree[a, {a,a}]}]
p5130 = Tree[a, {a,a,a,a,a}]
p5131 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p5132 = Tree[a, {a,Tree[a, {a}],a,a}]
p5133 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p5134 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p5135 = Tree[a, {a,a,a,a,a}]
p5136 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p5137 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p5138 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p5139 = Tree[a, {Tree[a, {a}],a,a,a}]
p5140 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p5141 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p5142 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p5143 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p5144 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p5145 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p5146 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p5147 = Tree[a, {Tree[a, {a,a,a}],a}]
p5148 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p5149 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p5150 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p5151 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p5152 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p5153 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p5154 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p5155 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p5156 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p5157 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p5158 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p5159 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p5160 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p5161 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p5162 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p5163 = Tree[a, {Tree[a, {a,a}],a,a}]
p5164 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p5165 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p5166 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p5167 = Tree[a, {Tree[a, {a,a}],a,a}]
p5168 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p5169 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p5170 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p5171 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p5172 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p5173 = Tree[a, {a,Tree[a, {a,a}],a}]
p5174 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p5175 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p5176 = Tree[a, {a,a,a,Tree[a, {a}]}]
p5177 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p5178 = Tree[a, {Tree[a, {a,a,a,a}]}]
p5179 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p5180 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p5181 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p5182 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p5183 = Tree[a, {a,Tree[a, {a,a,a}]}]
p5184 = Tree[a, {Tree[a, {a,a}],a,a}]
p5185 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p5186 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p5187 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p5188 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p5189 = Tree[a, {a,Tree[a, {a,a,a}]}]
p5190 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p5191 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p5192 = Tree[a, {Tree[a, {a}],a,a,a}]
p5193 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p5194 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p5195 = Tree[a, {a,a,Tree[a, {a,a}]}]
p5196 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p5197 = Tree[a, {a,a,a,a,a}]
p5198 = Tree[a, {Tree[a, {a,a,a}],a}]
p5199 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p5200 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p5201 = Tree[a, {a,Tree[a, {a,a,a}]}]
p5202 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p5203 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p5204 = Tree[a, {Tree[a, {a,a}],a,a}]
p5205 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p5206 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p5207 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p5208 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p5209 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p5210 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p5211 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p5212 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p5213 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p5214 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p5215 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p5216 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p5217 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p5218 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p5219 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p5220 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p5221 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p5222 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
